Vector partition: 98, Key insertions: 287911

Vector partition: 182, Key insertions: 286627

Vector partition: 3783, Key insertions: 287234

Vector partition: 1667, Key insertions: 287419

Vector partition: 3215, Key insertions: 287267

Vector partition: 1001, Key insertions: 287605

Vector partition: 250, Key insertions: 287735

Vector partition: 1849, Key insertions: 287298

Vector partition: 3512, Key insertions: 288162

Vector partition: 2802, Key insertions: 286904

Vector partition: 3103, Key insertions: 285551

Vector partition: 472, Key insertions: 287030

Vector partition: 383, Key insertions: 287950

Vector partition: 1655, Key insertions: 286434

Vector partition: 3759, Key insertions: 287522

Vector partition: 2447, Key insertions: 286952

Vector partition: 2620, Key insertions: 287568

Vector partition: 1590, Key insertions: 287193

Vector partition: 3699, Key insertions: 287771

Vector partition: 2287, Key insertions: 287888

Vector partition: 11, Key insertions: 286960

Vector partition: 2260, Key insertions: 287439

Vector partition: 1585, Key insertions: 287609

Vector partition: 1740, Key insertions: 287225

Vector partition: 2105, Key insertions: 287107

Vector partition: 841, Key insertions: 287367

Vector partition: 2069, Key insertions: 286675

Vector partition: 1424, Key insertions: 287333

Vector partition: 3292, Key insertions: 288327

Vector partition: 1489, Key insertions: 288123

Vector partition: 37, Key insertions: 287692

Vector partition: 26, Key insertions: 286386

Vector partition: 2397, Key insertions: 287040

Vector partition: 2780, Key insertions: 287686

Vector partition: 2805, Key insertions: 287867

Vector partition: 888, Key insertions: 287164

Vector partition: 760, Key insertions: 287927

Vector partition: 3096, Key insertions: 287193

Vector partition: 3629, Key insertions: 287169

Vector partition: 535, Key insertions: 287917

Vector partition: 3313, Key insertions: 287029

Vector partition: 3989, Key insertions: 286870

Vector partition: 3277, Key insertions: 287059

Vector partition: 1309, Key insertions: 287192

Vector partition: 2073, Key insertions: 287287

Vector partition: 1239, Key insertions: 287815

Vector partition: 1163, Key insertions: 287360

Vector partition: 3897, Key insertions: 287194

Vector partition: 3602, Key insertions: 287391

Vector partition: 1578, Key insertions: 286522

Vector partition: 3911, Key insertions: 287881

Vector partition: 3693, Key insertions: 287371

Vector partition: 3560, Key insertions: 287425

Vector partition: 3078, Key insertions: 287677

Vector partition: 2566, Key insertions: 287168

Vector partition: 727, Key insertions: 287123

Vector partition: 1134, Key insertions: 288140

Vector partition: 3552, Key insertions: 288198

Vector partition: 3195, Key insertions: 287784

Vector partition: 3978, Key insertions: 287550

Vector partition: 1228, Key insertions: 287056

Vector partition: 870, Key insertions: 286719

Vector partition: 3548, Key insertions: 288385

Vector partition: 3973, Key insertions: 287146

Vector partition: 1130, Key insertions: 287305

Vector partition: 324, Key insertions: 287276

Vector partition: 349, Key insertions: 288265

Vector partition: 817, Key insertions: 287676

Vector partition: 3223, Key insertions: 287497

Vector partition: 3691, Key insertions: 287119

Vector partition: 739, Key insertions: 287951

Vector partition: 3682, Key insertions: 287459

Vector partition: 413, Key insertions: 287720

Vector partition: 2207, Key insertions: 287765

Vector partition: 3258, Key insertions: 287312

Vector partition: 798, Key insertions: 288098

Vector partition: 1035, Key insertions: 287572

Vector partition: 2238, Key insertions: 287142

Vector partition: 2273, Key insertions: 287590

Vector partition: 2635, Key insertions: 287390

Vector partition: 2724, Key insertions: 287908

Vector partition: 3502, Key insertions: 288495

Vector partition: 565, Key insertions: 287180

Vector partition: 1334, Key insertions: 287682

Vector partition: 1664, Key insertions: 287099

Vector partition: 1123, Key insertions: 288888

Vector partition: 1914, Key insertions: 287111

Vector partition: 2915, Key insertions: 287284

Vector partition: 3334, Key insertions: 287345

Vector partition: 3363, Key insertions: 288222

Vector partition: 388, Key insertions: 286439

Vector partition: 1423, Key insertions: 287000

Vector partition: 2813, Key insertions: 287554

Vector partition: 2690, Key insertions: 287233

Vector partition: 1091, Key insertions: 287082

Vector partition: 380, Key insertions: 287505

Vector partition: 901, Key insertions: 288202

Vector partition: 1214, Key insertions: 288093

Vector partition: 1493, Key insertions: 287709

Vector partition: 1773, Key insertions: 286961

Vector partition: 3143, Key insertions: 287692

Vector partition: 3312, Key insertions: 287223

Vector partition: 3658, Key insertions: 287629

Vector partition: 1467, Key insertions: 287543

Vector partition: 59, Key insertions: 287389

Vector partition: 1273, Key insertions: 286723

Vector partition: 91, Key insertions: 288126

Vector partition: 1657, Key insertions: 287547

Vector partition: 3836, Key insertions: 287691

Vector partition: 764, Key insertions: 287637

Vector partition: 980, Key insertions: 287768

Vector partition: 2212, Key insertions: 287574

Vector partition: 3952, Key insertions: 287376

Vector partition: 1409, Key insertions: 287849

Vector partition: 508, Key insertions: 287085

Vector partition: 752, Key insertions: 288854

Vector partition: 1569, Key insertions: 287565

Vector partition: 1096, Key insertions: 286552

Vector partition: 2710, Key insertions: 287639

Vector partition: 728, Key insertions: 287761

Vector partition: 1535, Key insertions: 288034

Vector partition: 3736, Key insertions: 288119

Vector partition: 3696, Key insertions: 286783

Vector partition: 2029, Key insertions: 288273

Vector partition: 2362, Key insertions: 286589

Vector partition: 2571, Key insertions: 287087

Vector partition: 1632, Key insertions: 287126

Vector partition: 2269, Key insertions: 287541

Vector partition: 3868, Key insertions: 287161

Vector partition: 3788, Key insertions: 288272

Vector partition: 2523, Key insertions: 287487

Vector partition: 2414, Key insertions: 288105

Vector partition: 3183, Key insertions: 287739

Vector partition: 3571, Key insertions: 287789

Vector partition: 1855, Key insertions: 286915

Vector partition: 1887, Key insertions: 287239

Vector partition: 3387, Key insertions: 286992

Vector partition: 269, Key insertions: 287532

Vector partition: 3262, Key insertions: 287181

Vector partition: 2224, Key insertions: 287859

Vector partition: 3510, Key insertions: 288346

